date,total_requests,success_count,failure_count,total_tokens,input_tokens,output_tokens
2026-01-16,11424,11424,0,6773849,0,0
2026-03-06,303,303,0,664363,0,0
2026-03-07,20,20,0,0,0,0
2026-03-08,480,480,0,74,0,0
2026-03-09,2076,2076,0,3287802,0,0
2026-03-10,2415,2415,0,743902,0,0
2026-03-11,2316,2316,0,730344,0,0
2026-03-12,2735,2735,0,713619,0,0
2026-03-13,2649,2649,0,921471,0,0
2026-03-14,379,379,0,200963,0,0
2026-03-15,519,519,0,190545,0,0
2026-03-16,4246,4246,0,1763357,0,0
2026-03-17,3373,3373,0,1401683,0,0
2026-03-18,3174,3174,0,1267769,0,0
2026-03-19,2166,2166,0,1129352,0,0
2026-03-20,1778,1778,0,709309,0,0
2026-03-21,2377,2377,0,994008,0,0
2026-03-22,418,418,0,237457,0,0
2026-03-23,469,469,0,233397,0,0
2026-03-24,4548,4548,0,1631696,0,0
2026-03-25,3416,3416,0,1376388,0,0
2026-03-26,1286,1286,0,527953,0,0
2026-03-27,1898,1898,0,5617240,0,0
2026-03-28,285,285,0,204699,0,0
2026-03-29,320,320,0,260291,0,0
2026-03-30,5446,5446,0,2163705,0,0
2026-03-31,3977,3977,0,1655264,0,0
2026-04-01,2079,2079,0,108987163,0,0
2026-04-02,2223,2223,0,135548767,0,0
